,My Portfolio,Min Risk,Best Sharpe Ratio,Highest Return
Returns,0.10671506994908313,0.0952928028703576,0.10169644659784771,0.12443044536662827
Risk,0.22363887810683564,0.1873290294341966,0.19551301050760883,0.3250453259187669
Sharpe Ratio,0.4771758419307744,0.5086921293414979,0.5201518115536867,0.3828095205335304
Weights,"[0.25, 0.25, 0.25, 0.25]",[0.25 0.18 0.06 0.52],[0.32 0.46 0.09 0.12],[0.22 0.33 0.4  0.05]
