,Returns,Risk,Sharpe Ratio,Ccola,Pepsi,Monster,Carlsberg
32,0.1593440312796953,0.2087695672457488,0.6674537535237085,0.03,0.31,0.37,0.29
33,0.13923529305493865,0.17967275129008922,0.6636247967418735,0.35,0.11,0.51,0.03
34,0.13972767818550869,0.1726842879117195,0.6933327845479286,0.19,0.34,0.33,0.14
35,0.16109685386532857,0.19742297112704324,0.7146931943118799,0.17,0.1,0.24,0.49
36,0.12346042719913061,0.16625118747559745,0.6223139140844732,0.02,0.28,0.46,0.23
37,0.1277672975761019,0.16633818979440884,0.6478806683498265,0.3,0.1,0.15,0.44
38,0.1406076020824642,0.18144460475517366,0.6647075687105831,0.11,0.32,0.19,0.37
39,0.11695758355288513,0.16946558128685177,0.5721373202548222,0.34,0.07,0.31,0.28
40,0.11689291619080339,0.17456523519126796,0.5550527634247424,0.21,0.06,0.01,0.73
41,0.10685968860665734,0.1952878004398788,0.4447778530507742,0.4,0.31,0.18,0.12
42,0.10339446791812446,0.1619318123559471,0.5149974344436571,0.67,0.06,0.12,0.15
43,0.12759106774818338,0.17009314193041816,0.632542067993528,0.26,0.36,0.02,0.36
44,0.10872034210380807,0.16997883453461218,0.521949349439399,0.31,0.15,0.2,0.34
45,0.13482522878569192,0.17155725676137185,0.6693114063103053,0.11,0.7,0.13,0.06
46,0.12429038777307624,0.16800163059943204,0.6207700925340234,0.16,0.25,0.23,0.37
47,0.14422303577423923,0.1765384417583715,0.703659976472793,0.24,0.3,0.18,0.29
48,0.1372752830961377,0.18076215117960118,0.6487822939195697,0.04,0.21,0.28,0.46
49,0.1368776968765792,0.17462940558414466,0.6692898969999759,0.26,0.31,0.33,0.1
50,0.15004501248345015,0.1822485229741546,0.7135586635283314,0.04,0.38,0.27,0.3
51,0.1265405572122603,0.18243779072580324,0.5839829389974719,0.16,0.14,0.35,0.35
52,0.12694047880544923,0.1829980491453256,0.5843804308565267,0.46,0.14,0.25,0.15
53,0.11233277852263929,0.17904095829261413,0.5157075755355149,0.42,0.26,0.28,0.04
54,0.12039803174676512,0.17097899615166953,0.5871951175669876,0.52,0.09,0.12,0.27
55,0.14331118141107416,0.18636219510168983,0.6616748710423193,0.39,0.11,0.15,0.35
56,0.1343023220952121,0.1768969236952583,0.6461521190279237,0.22,0.34,0.37,0.08
57,0.12205096825544341,0.16635949348674023,0.6134363967847584,0.32,0.18,0.28,0.22
58,0.17159166772650675,0.21087228950471848,0.7188790337628251,0.22,0.35,0.18,0.25
59,0.09473777680310919,0.16622084633402287,0.44962938434883604,0.16,0.11,0.56,0.16
60,0.12972497216127238,0.17111023141311904,0.6412531340475982,0.32,0.55,0.03,0.1
61,0.1160517961176698,0.1697461342334608,0.5658555733915254,0.3,0.16,0.22,0.32
62,0.1335968486755521,0.1723499637877859,0.6591057298707856,0.35,0.33,0.17,0.15
63,0.15609867908716965,0.19403823518635843,0.7014013447218669,0.25,0.22,0.27,0.25
64,0.13497188308768807,0.1732989025454338,0.6634311089047196,0.3,0.0,0.43,0.26
65,0.13708488424974685,0.18045541844322543,0.6488299728532889,0.05,0.37,0.24,0.34
66,0.14311185256281983,0.19142054788702884,0.6431485748096232,0.3,0.24,0.32,0.14
67,0.14507872903818722,0.18730222299473628,0.6677909479040315,0.38,0.15,0.38,0.09
68,0.1467096698164772,0.17837073724847946,0.7103725183350239,0.09,0.44,0.38,0.09
69,0.13791542041335672,0.1759192404535089,0.6702815457216509,0.1,0.14,0.28,0.49
70,0.09482749538922304,0.1950106428594331,0.38370980317807546,0.28,0.13,0.28,0.31
71,0.1083043256961531,0.16380895514386637,0.5390689759213665,0.69,0.11,0.03,0.17
72,0.11535883780882192,0.16326507545907307,0.5840737067660637,0.16,0.38,0.02,0.45
73,0.13327533431862368,0.17926479576353663,0.631888340575481,0.25,0.3,0.11,0.34
74,0.08856198482643707,0.20043691349848622,0.34206266515351663,0.35,0.2,0.29,0.16
75,0.135420655957872,0.1704644166333907,0.677095303743663,0.74,0.13,0.01,0.11
76,0.13566554927020877,0.18237087983670075,0.6342325560625603,0.16,0.2,0.23,0.41
77,0.12720833885411323,0.18795889817223446,0.570381822284752,0.39,0.11,0.31,0.18
78,0.14252577913150205,0.17903296949112346,0.684375506253204,0.49,0.17,0.28,0.06
79,0.14307512638565698,0.18226538570664644,0.6752523300488039,0.1,0.33,0.32,0.25
80,0.09876043458997907,0.16660592418985812,0.4727348980713706,0.29,0.14,0.35,0.21
81,0.13347384941689922,0.18708208803935708,0.6065457714638471,0.36,0.45,0.05,0.14
82,0.12128332010329226,0.1691204258058339,0.5988828352382166,0.44,0.15,0.3,0.12
83,0.15965178619578815,0.18983284807072576,0.7356565927081191,0.35,0.05,0.12,0.48
84,0.1230986015560907,0.16423585276176333,0.6277472295019718,0.0,0.12,0.38,0.49
85,0.15246328133730594,0.1838895408059222,0.7203415743862684,0.22,0.26,0.17,0.34
86,0.09839779519696036,0.1803738693457202,0.4346405356903241,0.12,0.15,0.36,0.37
87,0.1367205909490679,0.17651938851090218,0.6612338278174978,0.53,0.37,0.09,0.01
88,0.1534239478441524,0.19659403189470653,0.6786775089673766,0.28,0.19,0.29,0.24
89,0.10550223006357436,0.16228004707193336,0.5268807324518093,0.09,0.41,0.45,0.05
90,0.14849702965101352,0.19193696674389388,0.6694751502584191,0.23,0.45,0.06,0.26
91,0.13415622381622336,0.18924164967266938,0.6032299127262892,0.25,0.27,0.42,0.06
92,0.14027082082241057,0.1733780250375433,0.6936912610255372,0.47,0.09,0.31,0.13
93,0.17731362607475407,0.22531825045920617,0.6981841273582748,0.13,0.21,0.28,0.37
94,0.12871105551850354,0.1726823445847153,0.6295435458670853,0.24,0.09,0.63,0.04
95,0.1816502238283131,0.22267667352550616,0.7259414345876563,0.34,0.14,0.22,0.3
96,0.10772142779614718,0.16538694476972826,0.5304011626690582,0.16,0.04,0.62,0.18
97,0.1295230238047136,0.17049554230267772,0.6423805709258914,0.06,0.48,0.02,0.44
98,0.15641811579743906,0.18708783762080283,0.7291661367851009,0.32,0.08,0.21,0.38
99,0.14012663417805346,0.17821455127586577,0.6740562615008042,0.17,0.04,0.38,0.41
100,0.13623728767102675,0.18680766938346477,0.6222297406453027,0.18,0.3,0.32,0.2
101,0.09116101465114741,0.17878741469865375,0.3980202676518888,0.38,0.23,0.33,0.07
102,0.12632993658080938,0.16860873884866937,0.6306312312568995,0.54,0.38,0.04,0.03
103,0.1184136588709481,0.16349759403335223,0.6019272604762151,0.31,0.15,0.2,0.33
104,0.14012223531912602,0.18850316830647915,0.6372425269999943,0.14,0.32,0.1,0.44
105,0.14324129459904036,0.1889064088478153,0.6523934013182404,0.34,0.25,0.37,0.04
106,0.13176849608893412,0.17578984420739904,0.6358074699529755,0.13,0.47,0.39,0.01
107,0.12906777442894313,0.17539510723095,0.621840461520566,0.37,0.05,0.23,0.35
108,0.12631892893228683,0.174533155989669,0.609161785503839,0.34,0.22,0.24,0.21
109,0.10628834021681932,0.18593470247512098,0.46407872800595223,0.4,0.05,0.19,0.36
110,0.15589106797500318,0.19090782214047938,0.7118150867333652,0.59,0.17,0.12,0.12
111,0.14562434473802288,0.1806866534247941,0.6952607863220546,0.2,0.13,0.42,0.25
112,0.13153928801342663,0.17936704890714486,0.621849379208823,0.06,0.3,0.31,0.34
113,0.101691714531807,0.166617212471182,0.4902957702880568,0.22,0.45,0.32,0.0
114,0.13596970491599092,0.17459415652809315,0.6642244346667511,0.33,0.49,0.08,0.1
115,0.13490723529226312,0.17527571695328126,0.6555798902987285,0.02,0.19,0.16,0.64
116,0.1440024858122618,0.18517232080901577,0.6696599430762457,0.24,0.28,0.3,0.17
117,0.1764693304703086,0.2143715589834927,0.7298978055309905,0.13,0.4,0.36,0.12
118,0.11093872608640208,0.16387425837582115,0.5549299016679464,0.01,0.19,0.56,0.24
119,0.14478406482257072,0.197352995856791,0.6322886778628897,0.19,0.49,0.11,0.21
120,0.10977761327999168,0.16210261440530968,0.5538319885175831,0.45,0.05,0.39,0.11
121,0.13316567808212376,0.1772518766525816,0.6384455850017966,0.23,0.44,0.11,0.21
