Date,High,High,High,High
2018-01-02,6.139999866485596,10.199999809265137,2.859999895095825,0.7091299891471863
2018-01-03,6.139999866485596,9.899999618530273,2.8299999237060547,0.710972011089325
2018-01-04,6.164999961853027,10.0,2.819999933242798,0.7137349843978882
2018-01-05,6.159999847412109,10.050000190734863,2.799999952316284,0.7132740020751953
2018-01-08,6.269999980926514,10.0,2.819999933242798,0.7565590143203735
2018-01-09,6.324999809265137,10.0,2.819999933242798,0.7828059792518616
2018-01-10,6.224999904632568,9.979999542236328,2.8299999237060547,0.7579399943351746
2018-01-11,6.210000038146973,10.0,2.819999933242798,0.7533349990844727
2018-01-12,6.170000076293945,10.0,2.8499999046325684,0.7487310171127319
2018-01-15,6.159999847412109,10.050000190734863,2.880000114440918,0.7786610126495361
2018-01-16,6.119999885559082,10.149999618530273,2.930000066757202,0.7970799803733826
2018-01-17,6.085000038146973,10.149999618530273,2.950000047683716,0.8003039956092834
2018-01-18,6.065000057220459,10.149999618530273,2.9600000381469727,0.7956990003585815
2018-01-19,6.15500020980835,10.199999809265137,2.950000047683716,0.8049089908599854
2018-01-22,6.159999847412109,10.399999618530273,3.0,0.8104339838027954
2018-01-23,6.105000019073486,10.649999618530273,3.0,0.8136579990386963
2018-01-24,6.110000133514404,10.75,3.069999933242798,0.8118159770965576
2018-01-25,6.079999923706055,10.75,3.25,0.7938569784164429
2018-01-26,6.164999961853027,10.75,3.190000057220459,0.8053690195083618
2018-01-29,6.045000076293945,10.5,3.0899999141693115,0.8007640242576599
2018-01-30,6.0,10.5,3.0899999141693115,0.7883309721946716
2018-01-31,5.894999980926514,10.25,3.0899999141693115,0.7726749777793884
2018-02-01,5.90500020980835,10.5,3.0799999237060547,0.7708330154418945
2018-02-02,5.84499979019165,10.350000381469727,3.069999933242798,0.7602429986000061
2018-02-05,5.925000190734863,10.199999809265137,3.0,0.7478100061416626
2018-02-06,5.690000057220459,10.600000381469727,2.9100000858306885,0.7339950203895569
2018-02-07,5.710000038146973,10.399999618530273,2.9100000858306885,0.7565590143203735
2018-02-08,5.764999866485596,10.350000381469727,2.950000047683716,0.745507001876831
2018-02-09,5.605000019073486,10.300000190734863,2.950000047683716,0.7238649725914001
2018-02-12,5.650000095367432,10.300000190734863,2.9100000858306885,0.7229440212249756
2018-02-13,5.625,10.399999618530273,2.9100000858306885,0.7257069945335388
2018-02-14,5.630000114440918,10.300000190734863,3.0399999618530273,0.7026829719543457
2018-02-15,5.679999828338623,10.399999618530273,3.0899999141693115,0.6741340160369873
2018-02-16,5.650000095367432,10.399999618530273,3.059999942779541,0.6759759783744812
2018-02-19,5.769999980926514,10.600000381469727,3.0399999618530273,0.6741340160369873
2018-02-20,5.849999904632568,10.649999618530273,2.990000009536743,0.6722919940948486
2018-02-21,5.804999828338623,10.649999618530273,2.990000009536743,0.6718310117721558
2018-02-22,5.769999980926514,10.600000381469727,2.9800000190734863,0.6686080098152161
2018-02-23,5.869999885559082,10.600000381469727,2.9700000286102295,0.6584780216217041
2018-02-26,5.949999809265137,10.550000190734863,2.9700000286102295,0.6561750173568726
2018-02-27,5.90500020980835,10.600000381469727,2.940000057220459,0.660319983959198
2018-02-28,6.025000095367432,10.600000381469727,2.950000047683716,0.6722919940948486
2018-03-01,5.96999979019165,10.5,2.9600000381469727,0.6649240255355835
2018-03-02,5.864999771118164,10.5,2.9200000762939453,0.6336119771003723
2018-03-05,5.715000152587891,10.5,2.930000066757202,0.6267049908638
2018-03-06,5.784999847412109,10.5,2.930000066757202,0.6032209992408752
2018-03-07,5.96999979019165,10.399999618530273,2.9200000762939453,0.6064440011978149
2018-03-08,6.110000133514404,10.5,2.9100000858306885,0.7072880268096924
2018-03-09,5.860000133514404,10.449999809265137,2.9200000762939453,0.6382169723510742
2018-03-12,5.789999961853027,10.399999618530273,2.9100000858306885,0.648347020149231
2018-03-13,5.789999961853027,10.399999618530273,2.9200000762939453,0.6400589942932129
2018-03-14,5.764999866485596,10.399999618530273,2.9100000858306885,0.6428220272064209
2018-03-15,5.804999828338623,10.449999809265137,2.9100000858306885,0.6474260091781616
2018-03-16,5.699999809265137,10.449999809265137,2.9000000953674316,0.6446629762649536
2018-03-19,5.710000038146973,10.399999618530273,2.890000104904175,0.6299279928207397
2018-03-20,5.574999809265137,10.449999809265137,2.869999885559082,0.6179559826850891
2018-03-21,5.59499979019165,10.449999809265137,2.890000104904175,0.6345329880714417
2018-03-22,5.485000133514404,10.449999809265137,2.890000104904175,0.6161140203475952
2018-03-23,5.159999847412109,10.449999809265137,2.880000114440918,0.6170349717140198
2018-03-26,5.184999942779541,10.449999809265137,2.880000114440918,0.6156539916992188
2018-03-27,5.195000171661377,10.699999809265137,2.880000114440918,0.6147329807281494
2018-03-28,5.139999866485596,10.699999809265137,2.880000114440918,0.6082860231399536
2018-03-29,5.164999961853027,10.699999809265137,2.880000114440918,0.5990769863128662
2018-04-03,5.184999942779541,10.75,2.880000114440918,0.6147329807281494
2018-04-04,5.099999904632568,10.899999618530273,2.890000104904175,0.5866439938545227
2018-04-05,5.110000133514404,10.850000381469727,2.890000104904175,0.5820389986038208
2018-04-06,5.070000171661377,10.850000381469727,2.890000104904175,0.5778949856758118
2018-04-09,5.199999809265137,10.800000190734863,2.940000057220459,0.5737500190734863
2018-04-10,5.255000114440918,10.899999618530273,2.930000066757202,0.5608569979667664
2018-04-11,5.28000020980835,10.800000190734863,2.930000066757202,0.5617780089378357
2018-04-12,5.215000152587891,11.0,2.930000066757202,0.5778949856758118
