Date,Volume,Volume,Volume,Volume
2018-06-06,46129.0,107438.0,6245,1045767.0
2018-06-07,55368.0,8833.0,6322,757665.0
2018-06-08,74049.0,5069.0,16548,1678292.0
2018-06-11,90431.0,2433.0,8050,1115369.0
2018-06-12,60950.0,2454.0,9759,536147.0
2018-06-13,58444.0,5851.0,4617,2591748.0
2018-06-14,76346.0,3319.0,8387,2692058.0
2018-06-15,130339.0,21022.0,7050,7734224.0
2018-06-18,90197.0,4778.0,9906,1044533.0
2018-06-19,115856.0,11218.0,16643,907238.0
2018-06-20,59370.0,13796.0,3604,760245.0
2018-06-21,104889.0,9070.0,27096,1270146.0
2018-06-22,140425.0,9307.0,10270,955620.0
2018-06-25,64479.0,2115.0,6277,1092290.0
2018-06-26,56094.0,7356.0,10966,1469925.0
2018-06-27,183553.0,2613.0,4968,1759386.0
2018-06-28,192240.0,7101.0,6794,1104474.0
2018-06-29,218206.0,5650.0,18413,942388.0
2018-07-02,107491.0,23467.0,13245,814972.0
2018-07-03,156988.0,11295.0,8457,3196952.0
2018-07-04,61890.0,2069.0,10332,14549777.0
2018-07-05,120225.0,746.0,9764,43166557.0
2018-07-06,151639.0,1748.0,8700,65828820.0
2018-07-09,74674.0,1954.0,13120,42882375.0
2018-07-10,48120.0,906.0,7225,28592449.0
2018-07-11,227593.0,1650.0,5056,45661710.0
2018-07-12,80848.0,1409.0,4607,32590696.0
2018-07-13,127315.0,16533.0,14383,15424905.0
2018-07-16,279366.0,2953.0,8274,12111890.0
2018-07-17,124554.0,1819.0,7848,9712773.0
2018-07-18,124614.0,8160.0,11980,18188476.0
2018-07-19,120089.0,2663.0,43990,13342507.0
2018-07-20,251251.0,2604.0,11632,8411034.0
2018-07-23,278978.0,1589.0,7849,8526114.0
2018-07-24,215497.0,1059.0,20670,4581613.0
2018-07-25,107709.0,1308.0,26761,7641904.0
2018-07-26,71454.0,1784.0,3851,3519224.0
2018-07-27,101455.0,867.0,4321,3224818.0
2018-07-30,151270.0,3671.0,7043,2984266.0
2018-07-31,213962.0,1419.0,8600,3954939.0
2018-08-01,190738.0,435.0,11133,2239148.0
2018-08-02,103158.0,2888.0,8982,3829857.0
2018-08-03,76369.0,7815.0,5441,3441588.0
2018-08-06,116836.0,2273.0,6013,2550966.0
2018-08-07,83933.0,1101.0,8337,1635316.0
2018-08-08,121759.0,378.0,24992,1922164.0
2018-08-09,59567.0,6463.0,41643,3417448.0
2018-08-10,88376.0,3178.0,18670,2302173.0
2018-08-13,62255.0,3441.0,1903,3325375.0
2018-08-14,65293.0,1015.0,22310,4320080.0
2018-08-15,107887.0,6763.0,12096,
2018-08-16,80937.0,4364.0,21807,2045851.0
2018-08-17,65721.0,6809.0,6957,3833465.0
2018-08-20,154498.0,2116.0,30080,3003985.0
2018-08-21,90708.0,3150.0,31594,5263066.0
2018-08-22,79274.0,1302.0,26626,8085346.0
2018-08-23,124815.0,6508.0,31785,21727646.0
2018-08-24,282757.0,3687.0,10545,30557139.0
2018-08-27,428591.0,3502.0,13312,39939702.0
2018-08-28,361669.0,21578.0,44733,60457297.0
2018-08-29,255860.0,34096.0,4663,25913409.0
2018-08-30,199974.0,7294.0,16552,23993783.0
2018-08-31,301385.0,8171.0,19348,27021201.0
2018-09-03,202095.0,6080.0,71972,20534974.0
2018-09-04,195073.0,6623.0,9817,9701125.0
2018-09-05,138671.0,580.0,5603,23124902.0
2018-09-06,168232.0,6999.0,3775,36868613.0
2018-09-07,104698.0,1825.0,7977,28830366.0
2018-09-10,190821.0,3677.0,10643,32794601.0
2018-09-11,267071.0,812.0,5279,72489899.0
2018-09-12,139105.0,2106.0,16391,24269961.0
2018-09-13,234327.0,2390.0,52643,25511679.0
2018-09-14,513427.0,662.0,64015,18730807.0
2018-09-17,633425.0,374.0,49756,33061749.0
2018-09-18,354514.0,4799.0,24292,21934921.0
2018-09-19,441492.0,7950.0,7906,33026101.0
2018-09-20,210760.0,7012.0,83946,197950693.0
2018-09-21,361446.0,3763.0,52925,40775057.0
2018-09-24,520749.0,7062.0,37907,14473451.0
2018-09-25,485059.0,1159.0,11266,13795771.0
2018-09-26,249130.0,1181.0,17025,11459040.0
2018-09-27,351187.0,1304.0,50648,9863512.0
2018-09-28,313557.0,934.0,12978,19317981.0
2018-10-01,425654.0,523.0,26084,7631994.0
2018-10-02,533080.0,267.0,11999,9709955.0
2018-10-03,,1272.0,32510,14071852.0
2018-10-04,483642.0,1419.0,16884,16733744.0
2018-10-05,469640.0,408.0,16063,22031056.0
2018-10-08,373013.0,448.0,13689,25343182.0
2018-10-09,233671.0,1511.0,19984,11519644.0
2018-10-10,536598.0,830.0,72356,9057385.0
2018-10-11,583219.0,2380.0,35128,17809426.0
2018-10-12,404971.0,433.0,30882,13895325.0
2018-10-15,326305.0,1891.0,31370,17823410.0
2018-10-16,785252.0,3268.0,10817,16892609.0
2018-10-17,879031.0,2476.0,6719,37799487.0
2018-10-18,1080274.0,387.0,7900,13016552.0
2018-10-19,875967.0,892.0,35290,15149565.0
2018-10-22,710603.0,585.0,15362,9216139.0
2018-10-23,694604.0,7329.0,52354,9750634.0
2018-10-24,395326.0,8549.0,10206,14695369.0
2018-10-25,542629.0,445.0,34791,9297913.0
2018-10-26,465924.0,3921.0,24260,11355495.0
2018-10-29,665027.0,1374.0,33830,9393543.0
2018-10-30,338224.0,1006.0,20063,7476416.0
2018-10-31,666093.0,4806.0,34079,7263110.0
2018-11-01,441127.0,553.0,15362,3924446.0
2018-11-02,667452.0,4828.0,45645,13404728.0
2018-11-05,671492.0,5707.0,17539,13014486.0
2018-11-06,783700.0,9042.0,6231,26788280.0
2018-11-07,525218.0,5195.0,9455,38532768.0
2018-11-08,628609.0,5085.0,19895,13285167.0
2018-11-09,368286.0,5930.0,9075,10653176.0
2018-11-12,676821.0,4037.0,16912,17666387.0
2018-11-13,396062.0,3839.0,11980,9756321.0
2018-11-14,597718.0,6399.0,18384,6745298.0
2018-11-15,555802.0,2693.0,11048,2873438.0
2018-11-16,463924.0,2618.0,31100,4709022.0
2018-11-19,562049.0,5855.0,16892,2265786.0
2018-11-20,698190.0,5315.0,29187,9925214.0
2018-11-21,362359.0,5506.0,5659,6838695.0
2018-11-22,330880.0,11770.0,8281,6975312.0
2018-11-23,609945.0,4478.0,39144,10639273.0
