,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,BVB.DE,GOOG,MCD,NFLX,AAPL,BVB.DE,GOOG,MCD,NFLX,AAPL,BVB.DE,GOOG,MCD,NFLX,AAPL,BVB.DE,GOOG,MCD,NFLX,AAPL,BVB.DE,GOOG,MCD,NFLX,AAPL,BVB.DE,GOOG,MCD,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-09,42.89468002319336,5.6515092849731445,58.00199890136719,139.775146484375,331.44000244140625,44.994998931884766,5.730000019073486,58.00199890136719,157.24000549316406,331.44000244140625,45.0,5.860000133514404,58.040000915527344,157.72999572753906,331.44000244140625,44.34749984741211,5.644999980926514,56.623050689697266,154.83999633789062,320.2300109863281,44.4900016784668,5.820000171661377,56.79999923706055,155.6199951171875,321.3299865722656,128740800.0,806820.0,42560000.0,5076500.0,14500200.0
2018-03-12,43.30937957763672,5.710687160491943,58.224998474121094,140.21963500976562,321.29998779296875,45.43000030517578,5.789999961853027,58.224998474121094,157.74000549316406,321.29998779296875,45.59749984741211,5.789999961853027,58.852500915527344,159.4499969482422,333.9800109863281,45.0525016784668,5.644999980926514,57.87099838256836,157.50999450683594,318.6000061035156,45.0724983215332,5.760000228881836,58.192501068115234,157.74000549316406,333.55999755859375,128828400.0,282486.0,43446000.0,4461500.0,20369200.0
2018-03-13,42.892295837402344,5.6515092849731445,56.90850067138672,140.64633178710938,315.8800048828125,44.99250030517578,5.730000019073486,56.90850067138672,158.22000122070312,315.8800048828125,45.875,5.789999961853027,58.8380012512207,159.88999938964844,325.8399963378906,44.810001373291016,5.699999809265137,56.666500091552734,158.2100067138672,313.2799987792969,45.647499084472656,5.789999961853027,58.5,158.55999755859375,323.8699951171875,126774000.0,261562.0,38144000.0,4333100.0,12917200.0
2018-03-14,42.52764892578125,5.676167011260986,57.4744987487793,140.66412353515625,321.54998779296875,44.61000061035156,5.755000114440918,57.4744987487793,158.24000549316406,321.54998779296875,45.130001068115234,5.764999866485596,57.929500579833984,159.50999450683594,323.8800048828125,44.45249938964844,5.710000038146973,57.071998596191406,157.24000549316406,317.70001220703125,45.08000183105469,5.739999771118164,57.260501861572266,159.0,318.1600036621094,117473600.0,106483.0,25828000.0,3879000.0,10475100.0
2018-03-15,42.577701568603516,5.676167011260986,57.479000091552734,143.65980529785156,321.0899963378906,44.662498474121094,5.755000114440918,57.479000091552734,161.61000061035156,321.0899963378906,45.060001373291016,5.804999828338623,58.05400085449219,162.14999389648438,323.3999938964844,44.51750183105469,5.735000133514404,56.72700119018555,158.58999633789062,318.1400146484375,44.625,5.760000228881836,57.49800109863281,158.7100067138672,323.1700134277344,90975200.0,133318.0,27908000.0,5925700.0,5642900.0
2018-03-16,42.42755889892578,5.607125759124756,56.7864990234375,144.32647705078125,318.45001220703125,44.505001068115234,5.684999942779541,56.7864990234375,162.36000061035156,318.45001220703125,44.779998779296875,5.699999809265137,57.79399871826172,163.22999572753906,324.1099853515625,44.404998779296875,5.565000057220459,56.597999572753906,161.5800018310547,318.3699951171875,44.662498474121094,5.585000038146973,57.707000732421875,161.8800048828125,321.4200134277344,157618800.0,353967.0,61840000.0,14293800.0,7333700.0
2018-03-19,41.779293060302734,5.439454078674316,54.99100112915039,141.3485565185547,313.4800109863281,43.82500076293945,5.514999866485596,54.99100112915039,159.00999450683594,313.4800109863281,44.36750030517578,5.710000038146973,56.0994987487793,162.36000061035156,317.0,43.415000915527344,5.414999961853027,54.45050048828125,158.2100067138672,307.3399963378906,44.33000183105469,5.704999923706055,56.0004997253418,162.0,315.79998779296875,133787200.0,366524.0,56118000.0,4307600.0,9925200.0
2018-03-20,41.765010833740234,5.493700981140137,54.885501861572266,141.677490234375,317.5,43.810001373291016,5.570000171661377,54.885501861572266,159.3800048828125,317.5,44.20000076293945,5.574999809265137,55.2599983215332,160.6699981689453,319.5,43.73500061035156,5.449999809265137,54.17300033569336,159.25,312.79998779296875,43.810001373291016,5.550000190734863,54.95000076293945,159.75,313.260009765625,78597600.0,166705.0,36638000.0,3105100.0,5991900.0
